Key,English
goGameWorld,[cd5c5c]Select 'Dishong Challenge (biome)'[-]
goLootRespawnDays,Loot Respawn
goLootRespawnDaysDesc,The number of days for loot to respawn if there are no players around.\n\nSelect [00ff00]ANYTHING[-] except [cd5c5c]'Disabled'[-]
goAirDropFrequency,Air Drops. Set this to [cd5c5c]DISABLED[-].
goAirDropFrequencyDesc,"How often supplies are air-dropped in game hours.\n\nAirdrops CANNOT be reached by the player(s), so [cd5c5c]'Disabled'[-] is recommended."
resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.
resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.
resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."
drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.
foodShepardsPie,Shepherd's Pie
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling.\n\nI just wish The Fun Pimps spelt it properly, so I didn't need to add this description..."

DishongEntityLootContainerUtilityWorkerLoot,Special Loot
DishongEntityLootContainerBusinessManLoot,Special Loot
DishongEntityLootContainerPartyGirlLoot,Special Loot
DishongEntityLootContainerWightFeralLoot,Special Loot
DishongEntityLootContainerFatCopLoot,Special Loot
DishongEntityLootContainerZombieMutatedLoot,Special Loot
DishongEntityLootContainerJanitorLoot,Special Loot
DishongEntityLootContainerSkateboarderLoot,Special Loot
DishongEntityLootContainerSoldierLoot,Special Loot
DishongEntityLootContainerZombieFemaleLoot,Special Loot
DishongEntityLootContainerSteveAndTomLoot,Special Loot
DishongEntityLootContainerZombieMaleLoot,Special Loot
DishongEntityLootContainerFatZombieLoot,Special Loot
DishongEntityLootContainerNurseLoot,Special Loot
DishongEntityLootContainerLabWorkerLoot,Special Loot
DishongEntityLootContainerMaleHazmatLoot,Special Loot
DishongEntityLootContainerLumberjackLoot,Special Loot
DishongEntityLootContainerBikerLoot,Special Loot

DishongEntityLootContainerRadUtilityWorkerLoot,Special Loot
DishongEntityLootContainerRadBusinessManLoot,Special Loot
DishongEntityLootContainerRadPartyGirlLoot,Special Loot
DishongEntityLootContainerRadWightFeralLoot,Special Loot
DishongEntityLootContainerRadFatCopLoot,Special Loot
DishongEntityLootContainerRadZombieMutatedLoot,Special Loot
DishongEntityLootContainerRadJanitorLoot,Special Loot
DishongEntityLootContainerRadSkateboarderLoot,Special Loot
DishongEntityLootContainerRadSoldierLoot,Special Loot
DishongEntityLootContainerRadZombieFemaleLoot,Special Loot
DishongEntityLootContainerRadSteveAndTomLoot,Special Loot
DishongEntityLootContainerRadZombieMaleLoot,Special Loot
DishongEntityLootContainerRadFatZombieLoot,Special Loot
DishongEntityLootContainerRadNurseLoot,Special Loot
DishongEntityLootContainerRadLabWorkerLoot,Special Loot

perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.
perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."
perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.
perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."
perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft gyrocopter parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."
vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Gyrocopter

harvestingToolsSkillMagazineDT,Tools Digest
repairToolsSkillMagazineDT,Handy Land
salvageToolsSkillMagazineDT,Scrapping 4 Fun
vehiclesSkillMagazineDT,Vehicle Adventures
workstationSkillMagazineDT,Forge Ahead
armorSkillMagazineDT,Armored Up
electricianSkillMagazineDT,Wiring 101
trapsSkillMagazineDT,Electrical Traps
foodSkillMagazineDT,Home Cooking Weekly
bowsSkillMagazineDT,Bow Hunters
handgunsSkillMagazineDT,Handgun Magazine
machineGunsSkillMagazineDT,Tactical Warfare
riflesSkillMagazineDT,Rifle World
shotgunsSkillMagazineDT,Shotgun Weekly
medicalSkillMagazineDT,Medical Journal
bladesSkillMagazineDT,Knife Guy
clubsSkillMagazineDT,Big Hitters
knucklesSkillMagazineDT,Furious Fists
sledgehammersSkillMagazineDT,Get Hammered
spearsSkillMagazineDT,Sharp Sticks
roboticsSkillMagazineDT,Tech Planet
explosivesSkillMagazineDT,Explosive Magazine
zombieArlene,Moonlunaplays
zombieArleneFeral,Feral Moonlunaplays
zombieArleneRadiated,Radiated Moonlunaplays
zombieBiker,Zilox
zombieBikerFeral,Feral Zilox
zombieBikerRadiated,Radiated Zilox
zombieBoe,w00kien00kie
